,Name,Variants,Manufacturer,Prescription,Price,Offer Price,Product Link,Description,Categor or Sub Category,Availablity,Image Link
25,Bhargava Spondin Drop,bottle of 30 ml Drop,Bhargava Phytolab,Not Required,₹145,"(['Pack of 2', '₹282.2'], ['Pack of 3', '₹413.1'])",https://www.1mg.com/otc/bhargava-spondin-drop-otc325892,"Bhargava Spondin Drop provides relief from spondylitis, particularly cervical spondylitis. Spondin drops benefits by treating neuralgia, chronic pain caused affecting the trigeminal nerve in the face. Relieves bone and joint pain, strained muscles and tendons, stinging pains, sharp back spasm associated with degenerative changes as well as accidental injuries and acts well in deep pains and bruised feeling in neck and back.Key Ingredients:Hypericum perforatum 5XCuprum metalicum 6XConium maculatum 3XColocynthis vulgaris 3XRuta graveolens 3XDulcamera 3XLedum palustre 2XKey Benefits:Spondin drops reduce the pain, numbness, stiffness and stretching sensations on the nape of the neck followed to armsBhargava homoeopathic medicine reduce the cramps, jerking, twitching and shortening of musclesReduces the pain between shoulders, vertigo and headacheRelease the pressure over sacrum, spinal concussion and pain in coccyx radiating up the spineIndicated in painful stiffness in back after sitting for long hours, aggravated by cold weather or cold waterDirections For Use:Take 10-15 drops in half cup of lukewarm water thrice a day or as directed by the physician.Safety Information:Read the label carefully before useKeep out of the reach of the childrenStore in a cool dry place away from direct sunlightUse under medical supervisionDo not exceed the recommended dosage", -> Home -> Homeopathy -> Homeopathy Medicines,Yes in Stock,"https://onemg.gumlet.io/l_watermark_346,w_690,h_700/a_ignore,w_690,h_700,c_pad,q_auto,f_auto/cropped/hax8duqvqweauwfbhddo.jpg"
26,SBL Calcarea Phosphorica Biochemic Tablet 6X,bottle of 25 gm Biochemic Tablet,SBL Pvt Ltd,Not Required,₹79,"(['Pack of 2', '₹152'], ['Pack of 3', '₹222.3'])",https://www.1mg.com/otc/sbl-calcarea-phosphorica-biochemic-tablet-6x-otc331091,"SBL Calcarea Phosphorica Biochemic Tablet is a tissue salt remedy that has the basic elements required by the body physiologically that are calcium and phosphate. It is basically important for the normal formation of new cells and its absence or unavailability may result into problems related to normal growth. This remedy is specially indicated for complaints during dentition and bone problems. Key Ingredient:Calcarea PhosphoricaKey benefits:Mainly used to accelerate the growth of teeth and bonesUseful in defective nutrition, whether of childhood, puberty, or of old ageIt is used for psychological conditions, during depression or associated problemsImproves the condition in people who have glandular and bone diseasesHelps teenagers who have less height and problems that arise due to inappropriate intake of calcium, milk or dietCold atmosphere that causes pains in joints and sutures (stitches), arthritic pains, hip joint, and fractures that take time to healChildren with slow development of teeth, having a tendency to form curves of the bonesSpinal curvature where development of spine is slow and the child needs support while sittingHelps with the condition of children who are late to walk, neck too thin and weak to support head, ricketsDirections For Use:Put tablets into mouth and allow them to dissolve under the tongue. For adults and adolescents (12 years and older) 2 to 4 tablets, four times daily, or as recommended by your healthcare practitioner.Children (under 12 years) 2 tablets twice a day. In acute cases a dose every hour or two and in severe, painful affections a dose every ten to fifteen minutes. Always keep a gap of 15 minutes before or after meals when you take medicine.Safety Information:Avoid eating tobacco or drinking alcohol during the courseKeep out of the reach of childrenUse under medical supervisionRead the label carefully before useAvoid any strong smell in the mouth such as coffee, onion, hing, mint, camphor, garlic etc while taking the medicineKeep at least half an hour gap between food/drink/ any other medicines and allopathic medicine", -> Home -> Featured -> Top Brands,Yes in Stock,"https://onemg.gumlet.io/l_watermark_346,w_690,h_700/a_ignore,w_690,h_700,c_pad,q_auto,f_auto/cropped/hiedptuhev2bvrfe26eo.jpg"
27,SBL Stobal Cough Syrup,bottle of 180 ml Syrup,SBL Pvt Ltd,Not Required,₹143,"(['Pack of 2', '₹277.2'], ['Pack of 3', '₹405.9'])",https://www.1mg.com/otc/sbl-stobal-cough-syrup-otc328988,"SBL Stobal Cough Syrup with no narcotics helps in facilitating recovery from cough and wheezes and thus, often helps in avoiding usage of antibiotics. Stodal Cough Syrup is a safe and effective remedy and is well suited for all age groups. It has no narcotics, which makes it safe for pregnant women, children and elderly persons.Key Ingredients:Pulsatilla Nigricans 3, Justicia Adhatoda 3x, Rumex Crispus 3x, Ipecacuanha 3Indications:It is indicated in cough associated with bronchitis, laryngitis, tracheitis and whooping cough.Key Benefits:Stobal Cough Syrup is a highly efficacious remedy for acute catarrhal conditions of the respiratory tract like Coryza with cough hoarseness, paroxysmal cough with suffocating obstruction of respiration, etc. Stobal Cough Syrup acts on dry cough aggravated by inspiring cold air, which causes stringy and tough expectorationStobal Cough Syrup helps reduce spasmodic irritation of the chest. It acts on dyspnoea, chest pain, incessant and violent cough, wing and attacks of spasmodic and suffocative cough with nauseaDosage:Adults: One tablespoon of SBL Stodal Cough Syrup 3-5 times a dayChildren: One tablespoon 3-5 times a day or as directed by the physicianSafety Information:Read the label carefully before useStore in a cool and dry place away from direct sunlightDo not exceed the recommended dosageKeep it away from the reach of children", -> Home -> Health Conditions -> Cold & Cough,Yes in Stock,"https://onemg.gumlet.io/l_watermark_346,w_690,h_700/a_ignore,w_690,h_700,c_pad,q_auto,f_auto/jqut5zvsa2tla3zspjyb.jpg"
28,SBL Arsenicum Album Dilution 30 CH,bottle of 30 ml Dilution,SBL Pvt Ltd,Not Required,₹77,"(['Pack of 2', '₹149.4'], ['Pack of 3', '₹218.7'])",https://www.1mg.com/otc/sbl-arsenicum-album-dilution-30-ch-otc338369,"It is used for the treatment of respiratory problems which include throat infections, sore throat, and cough leading to breathing difficulties. It is also used to boost your immunity against infections. This medicine is also known to improve digestive disorders by relieving the symptoms of acidity and indigestion. It also helps in reducing fever and weakness following an infection. According to the Central Council for Research in Homoeopathy (CCRH), Arsenicum album 30 could be taken as prophylactic medicine against coronavirus infections. Daily one dose of Arsenicum album 30 is recommended to be taken on an empty stomach for three days. The dose should be repeated after one month by following the same schedule in case of coronavirus infections prevailing in the community. Arsenicum album 30 has also been advised for the prevention of influenza-like infections. The medicine is not known to cause any side-effects when taken as directed by your doctor.Key ingredients:Active ingredient: Arsenicum albumInactive ingredient: Organic sucroseKey benefits/uses of SBL Arsenicum Album Dilution 30 CH:Helps in treating respiratory ailments such as cough, wheezing, and breathing difficultiesUseful in treating fever and weakness caused due to infectionsProvides relief from acidity and indigestionRelieves anxiety and stress related to recurrent health problemsUsed as a prophylactic (preventive) medicine against coronavirus infectionsDirections for use:Take 2-3 drops of dilution in 1 teaspoon of water thrice a day or as directed by the physician.Quick tips for SBL Arsenicum Album Dilution 30 CH:Do not use this medicine if you are allergic to any of its ingredients.It is always wise to consult a doctor before use for serious conditions or if conditions worsen or persist for a long time even after using the medicine for a sufficient time.If you are a pregnant woman or are breastfeeding, please consult a doctor before use.Do not buy/use this medicine if the safety seal is broken or missing.Side-effects of SBL Arsenicum Album Dilution 30 CH:Since only a small amount of the drug is used adverse side-effects are not very common. However, if you develop any unusual symptoms after taking the medicine, you should consult your doctor.Storage and safety information:Read the label carefully before use.Do not exceed the recommended dosage.Keep out of the reach of children.Use under medical supervision.Store in a cool dry place away from direct sunlight and heat.FAQs related to SBL Arsenicum Album Dilution 30 CH:Q. Is SBL Arsenicum album 30 safe during pregnancy?There is no clear data available to suggest any harmful effect of taking Arsenic album 30 during pregnancy or breastfeeding. However, it is advised to consult the doctor if you are planning to take this medication during pregnancy to be on the safer side.Q. Does SBL Arsenicum album boost immunity?The Ministry of AYUSH, Central Council for Research in Homoeopathy(CCRH) has recommended that homeopathic medicine Arsenicum album 30 could be taken as prophylactic (preventive) medicine against coronavirus infections. This medicine is known to prevent flu-like infections and hence improve your immunity against infections.Q. Can I take Arsenicum album 30 for fever?The role of this medicine is to treat or prevent fever that has not yet been established. It is generally recommended to prevent flu-like infections. It is also known to provide temporary relief from headaches, which can help in the initial stage of fever.Q. Should people with diabetes take Arsenicum album 30?You should always consult your doctor before taking this medicine. Also, inform your doctor if you suffer from any other health conditions or are taking any other homeopathic medications.Q. Can I take Arsenicum album for cold and sore throat?It is best to consult your doctor if you can take this medicine to treat cold and sore throat. However, the Ministry of AYUSH has recommended its use as a prophylactic treatment option to treat influenza-like illness.References:AYUSH. Advisory of Health. PIB. India.Arsenicum Album 30", -> Home -> Featured -> Winter Care -> Fever & Headache,Yes in Stock,"https://onemg.gumlet.io/l_watermark_346,w_690,h_700/a_ignore,w_690,h_700,c_pad,q_auto,f_auto/cropped/ergrpppp0crrivsypqj9.png"
29,Dr. Reckeweg R13 Hemorrhoidal Drop,bottle of 22 ml Drop,Dr Reckeweg & Co,Not Required,₹227,"(['Pack of 2', '₹437.4'], ['Pack of 3', '₹639.9'])",https://www.1mg.com/otc/dr.-reckeweg-r13-hemorrhoidal-drop-otc327481,"Dr. Reckeweg R13 Hemorrhoidal Drop can aids in the treatment of  hemorrhoid and irritation. It can help with eczema, bleeding, itching, and other skin conditions. It contains lycopodium, which can be beneficial for newborn infants who experience constipation.  Key Ingredients: Acidum nitricumAesculusGraphitesHamamelisKalium carbonicumLycopodiumNux Vomica D4 Key Benefits: Dr. Reckeweg R13 Hemorrhoidal Drop can be beneficial for the treatment of itching, pain, anal fissures and inflammationIt can provide relief in cases of burning anal nodes and hard stools and assists in reducing the dryness and irritabilityIt contains Lycopodium which can help newborn babies suffering from digestive disorders such as constipation Directions For Use: Use as directed on the label or as advised by your physician.  Safety Information: Read the label carefully before useDo not exceed the recommended dosageStore in a cool and dry place away from direct sunlightKeep out of reach of children", -> Home -> Homeopathy -> Homeopathy Top Brands -> Dr Reckeweg,Yes in Stock,"https://onemg.gumlet.io/l_watermark_346,w_690,h_700/a_ignore,w_690,h_700,c_pad,q_auto,f_auto/ffyi22vv5t4wyhpvcznu.jpg"
30,SBL Chelidonium Majus Mother Tincture Q,bottle of 30 ml Mother Tincture,SBL Pvt Ltd,Not Required,₹115,"(['Pack of 2', '₹221.2'], ['Pack of 3', '₹323.4'])",https://www.1mg.com/otc/sbl-chelidonium-majus-mother-tincture-q-otc338503,"SBL Chelidonium Majus Mother Tincture Q is an excellent homoeopathic remedy that is used for the treatment of a number of health complications. It is highly effective in the treatment of liver disorders and helps remove harmful toxins from the body. It can also be used to treat indigestion, eczema and sleeping disorders. It is also a recommended remedy for liver ailments.Key Ingredients:Chelidonium MajusIndications:It is indicated in nausea, eczema, sleep disorders, anxiety, rheumatism, jaundice, gallstones and liver complications.Key Benefits:Helps in relieving pain and inflammation in the eyesHelps in relieving nausea and vomitingUseful in enlargement of liver and formation of stones in the gall bladderCan be used to treat fibrosis and acts as a preventive measure against jaundiceIncreases production of bile and digestive enzymes to promote better digestionRelieves stomach ulcers and irritable bowel syndromeProvides effective relief from indigestion and gastric disordersHighly effective in the treatment of eczema and dry skinActs as a sedative and effectively corrects anxiety and sleeping disordersContains anti-inflammatory properties and cures pain associated with rheumatismDirections For Use:Take 3-5 drops of tincture in half a cup of water three times a day or as directed by the physician.Safety Information:Read the label carefully before useDo not exceed the recommended dosageKeep it away from the reach of childrenStore in a cool and dry place", -> Home -> Featured -> Top Brands,Yes in Stock,"https://onemg.gumlet.io/l_watermark_346,w_690,h_700/a_ignore,w_690,h_700,c_pad,q_auto,f_auto/nxeniimlrkttxummsi0v.jpg"
31,SBL Thuja Occidentalis Dilution 200 CH,bottle of 30 ml Dilution,SBL Pvt Ltd,Not Required,₹88,"(['Pack of 2', '₹170.1'], ['Pack of 3', '₹248.85'])",https://www.1mg.com/otc/sbl-thuja-occidentalis-dilution-200-ch-otc338170,"SBL Thuja Occidentalis Dilution is a homoeopathic remedy for skin troubles such as warts. It can also be used to treat juvenile acne and outgrowths on the skin. Key Ingredients:Thuja OccidentalisKey Benefits:Excellent for treating warts on skin and genitalsHelps in treating juvenile acne on the face, back and neckHelps in fighting skin disorders like rashesIt is useful in chronic conditionsDirections For Use:Take 10 drops of dilution in half cup of water thrice a day or as directed by the physicianSafety Information:Read the label carefully before useDo not exceed the recommended doseKeep out of the reach of childrenUse under medical supervisionStore in a cool dry place away from direct sunlight and heat", -> Home -> Homeopathy -> Homeopathy Medicines -> Dilutions,Yes in Stock,"https://onemg.gumlet.io/l_watermark_346,w_690,h_700/a_ignore,w_690,h_700,c_pad,q_auto,f_auto/lrn5xk4ttdbxhpz69wz4.jpg"
32,SBL Arnica Montana Dilution 200 CH,bottle of 30 ml Dilution,SBL Pvt Ltd,Not Required,₹83,"(['Pack of 2', '₹160'], ['Pack of 3', '₹234'])",https://www.1mg.com/otc/sbl-arnica-montana-dilution-200-ch-otc338216,"SBL Arnica Montana Dilution is extremely useful in the treatment of post injury bruises that causes pain in the joints and muscular cramps. It is also an effective remedy for the treatment of mouth ulcers and bleeding gums. It also helps in reducing soreness and stops bleeding. Natural herbs help in reducing pain associated with bruises and falls. Buzzing sensation and pain in the cartilages of ears can also be relieved by its use.Key Ingredient:Arnica DilutionKey Benefits:Provides effective relief from fainting, dizziness and pain in the headHelps in treating retinal haemorrhages and swelling in eyesIt is primarily used for the treatment of post injury bruises and soresExtremely beneficial for those who are sensitive to medical injuries and are prone to suffer from motion sicknessReduces swelling and soreness in the injured areaRestricts bleeding around the injured areaProvides effective relief from pain in the chest and breathing difficultiesDirections For Use:Take 3 - 5 drops of the dilution in 1 teaspoon of water thrice a day or as directed by the physician. Safety Information:Read the label carefully before useUse under medical supervisionDo not exceed the recommended dosageKeep out of the reach of childrenStore in a cool dry place away from direct sunlight and heat", -> Home -> Health Conditions -> Stomach Care,Yes in Stock,"https://onemg.gumlet.io/l_watermark_346,w_690,h_700/a_ignore,w_690,h_700,c_pad,q_auto,f_auto/q0xsavah09u7xv94nez3.jpg"
33,Hamdard Safi Natural Blood Purifier Syrup,bottle of 500 ml Syrup,Hamdard Laboratories India,Not Required,₹210,"(['No Offer Price'], [' '])",https://www.1mg.com/otc/hamdard-safi-natural-blood-purifier-syrup-otc263708,"Hamdard Safi Natural Blood Purifier Syrup with Hamdard Imyoton 10 Capsule Free is a very well-known blood purifier and an effective remedy for boils, pimples and other skin eruptions. It is an effective solution for both genders, across age groups. Safi purifies the blood from within by giving your liver, thyroid and the rest of your body, the support they need and eliminates the toxins that usually cause acne and blemishes.Imyoton is a natural immunity toner. It provides effective anti-oxidant activity against free radicals and negative external influences including stress & seasonal changes. Imyoton helps tone up immunity, improves resistance and provides round the year protection against infections.Key Ingredients:SanaSheeshamSandalGiloHararChiraitaNilkanthiNeemTulsiChob chiniKeekarKey benefits:The formulation helps to remove impurities from the blood and keeps a skin pimple and acne free providing glow to itNeem has blood purifying action keeping the skin free-form skin problems Senna exhibits laxative property and helps to treat constipationTulsi provides a glow to the skin by enhancing the blood circulation Direction for use/Dosage:Consume Hamdard Safi Syrup as per the requirement or as directed on the pack. Safety information:Read the label carefully before useDo not exceed the recommended dose", -> Home -> Ayurveda Products -> Top Health Concerns,Yes in Stock,"https://onemg.gumlet.io/l_watermark_346,w_690,h_700/a_ignore,w_690,h_700,c_pad,q_auto,f_auto/trlhc7eaaloyg6nxvaxb.jpg"
34,SBL Hydrastis Canadensis Mother Tincture Q,bottle of 30 ml Mother Tincture,SBL Pvt Ltd,Not Required,₹348,"(['Pack of 2', '₹671.5'], ['Pack of 3', '₹981.75'])",https://www.1mg.com/otc/sbl-hydrastis-canadensis-mother-tincture-q-otc338448,"SBL Hydrastis Canadensis Mother Tincture is a homoeopathic medicine that acts effectively on the mucous membrane producing ropy, yellowish, thick secretion. The swelling may be there in any organ - throat, uterus, stomach, etc. but characterized by mucus discharge and it acts very well everywhere. It helps old people in improving muscular power, digestion and reduces constipation. It is also recommended for treating cancer and cancerous state just before the ulceration. It is also indicated for treatment of smallpox as it provides relief from painful and distressing symptoms. It has antibacterial and amoebicidal properties.Key Ingredients:Extracts of golden seal (Hydrastis) herbKey Benefits:Soothes the mucous membrane of uterus, stomach, throat, etcEffective for weak and old people for improving muscular power, digestion and reducing constipationHelps in treatment of smallpoxStimulates the uterine muscles and the central nervous systemHas amoebicidal and antibacterial propertiesDirections For Use:Take 3-5 drops, 2-3 times in day or, as directed by the physicianSafety Information:Read the label carefully before useDo not exceed the recommended doseKeep out of the reach of childrenStore in a cool and dry place", -> Home -> Featured -> Top Brands,Yes in Stock,"https://onemg.gumlet.io/l_watermark_346,w_690,h_700/a_ignore,w_690,h_700,c_pad,q_auto,f_auto/j094jhl3lermytjmczp4.jpg"
35,Dr Ortho an Ayurvedic Medicine Oil,bottle of 60 ml Oil,Dr Ortho Ayurvedic,Not Required,₹150,"(['No Offer Price'], [' '])",https://www.1mg.com/otc/dr-ortho-an-ayurvedic-medicine-oil-otc451622,"Dr. Ortho oil is an ayurvedic herbal pain relieving oil which is prepared from the extracts of eight different herbs. Each herb has distinctive properties to combat pain in several regions of the body including muscles, legs, neck, shoulders, joints and back. It is useful in providing relief from joint pain, it also acts a muscle pain relief oil, and an ayurvedic oil for shoulder pain. Key Ingredients:Flaxseed OilCamphor oilPeppermint OilTil OilKey Benefits:The active components of these herbs stimulate blood circulation within stiff muscles and limbsThey relieve body ache, muscular pains, severe joint pain or swellingThe oil is absorbed quickly and spreads over the affected areaThe flaxseed oil contains essential fatty acids specifically, omega 3-fatty acids, which has the capability to reduce inflammation in joints and musclesIt has analgesic and anti-inflammatory properties Pepper mint oil is very effective in treating chronic painIt has saponins and flavonoids which suppress enzymes responsible for inflammationVitex negundo is beneficial in treating neuralgia, aches and painsSesamum indicum which is known as Til oil helps relieve mild to severe painDirections For Use:Dr. Ortho oil is indicated during pain in different parts of the body including muscles, legs, neck, shoulders, joints and back.Safety Information:Use under medical supervisionStore in a cool and dry placeKeep away from children", -> Home -> Ayurveda Products -> Ayurveda Top Brands,Yes in Stock,"https://onemg.gumlet.io/l_watermark_346,w_690,h_700/a_ignore,w_690,h_700,c_pad,q_auto,f_auto/cropped/ws5o0f5smno45ew07xmz.png"
